##########################################################################################
############################# Effectiveness Evaluation for 0 #############################
##########################################################################################

Evaluation Measures:
MAP: 0.01
MRR: 0.02
--------------------------------------------------------------------------------

QueryID: Q1
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
Q3         CACM-3190         53        N         0.00         0.000000
Q3         CACM-3192         54        N         0.00         0.000000
Q3         CACM-3195         55        N         0.00         0.000000
Q3         CACM-3204         56        N         0.00         0.000000
Q3         CACM-3146         57        N         0.00         0.000000
Q3         CACM-3149         58        N         0.00         0.000000
Q3         CACM-3153         59        N         0.00         0.000000
Q3         CACM-3158         60        N         0.00         0.000000
Q3         CACM-3164         61        N         0.00         0.000000
Q3         CACM-3175         62        N         0.00         0.000000
Q3         CACM-3176         63        N         0.00         0.000000
Q3         CACM-3177         64        N         0.00         0.000000
Q3         CACM-3179         65        N         0.00         0.000000
Q3         CACM-3184         66        N         0.00         0.000000
Q3         CACM-3197         67        N         0.00         0.000000
Q3         CACM-3198         68        N         0.00         0.000000
Q3         CACM-3201         69        N         0.00         0.000000
Q3         CACM-3202         70        N         0.00         0.000000
Q3         CACM-3150         71        N         0.00         0.000000
Q3         CACM-3151         72        N         0.00         0.000000
Q3         CACM-3152         73        N         0.00         0.000000
Q3         CACM-3157         74        N         0.00         0.000000
Q3         CACM-3164         75        N         0.00         0.000000
Q3         CACM-3170         76        N         0.00         0.000000
Q3         CACM-3174         77        N         0.00         0.000000
Q3         CACM-3175         78        N         0.00         0.000000
Q3         CACM-3180         79        N         0.00         0.000000
Q3         CACM-3201         80        N         0.00         0.000000
Q3         CACM-3202         81        N         0.00         0.000000
Q3         CACM-3154         82        N         0.00         0.000000
Q3         CACM-3163         83        N         0.00         0.000000
Q3         CACM-3195         84        N         0.00         0.000000
Q3         CACM-3145         85        N         0.00         0.000000
Q3         CACM-3147         86        N         0.00         0.000000
Q3         CACM-3148         87        N         0.00         0.000000
Q3         CACM-3163         88        N         0.00         0.000000
Q3         CACM-3166         89        N         0.00         0.000000
Q3         CACM-3173         90        N         0.00         0.000000
Q3         CACM-3200         91        N         0.00         0.000000
Q3         CACM-3152         92        N         0.00         0.000000
Q3         CACM-3160         93        N         0.00         0.000000
Q3         CACM-3165         94        N         0.00         0.000000
Q3         CACM-3182         95        N         0.00         0.000000
Q3         CACM-3150         96        N         0.00         0.000000
Q3         CACM-3199         97        N         0.00         0.000000
Q3         CACM-3157         98        N         0.00         0.000000
Q3         CACM-3153         99        N         0.00         0.000000
Q3         CACM-3160         100       N         0.00         0.000000


QueryID: Q4
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q4         CACM-3176         1         N         0.00         0.000000
Q4         CACM-3177         2         N         0.00         0.000000
Q4         CACM-3178         3         N         0.00         0.000000
Q4         CACM-3179         4         N         0.00         0.000000
Q4         CACM-3180         5         N         0.00         0.000000
Q4         CACM-3181         6         N         0.00         0.000000
Q4         CACM-3182         7         N         0.00         0.000000
Q4         CACM-3183         8         N         0.00         0.000000
Q4         CACM-3184         9         N         0.00         0.000000
Q4         CACM-3185         10        N         0.00         0.000000
Q4         CACM-3187         11        N         0.00         0.000000
Q4         CACM-3188         12        N         0.00         0.000000
Q4         CACM-3189         13        N         0.00         0.000000
Q4         CACM-3190         14        N         0.00         0.000000
Q4         CACM-3191         15        N         0.00         0.000000
Q4         CACM-3192         16        N         0.00         0.000000
Q4         CACM-3193         17        N         0.00         0.000000
Q4         CACM-3194         18        N         0.00         0.000000
Q4         CACM-3195         19        N         0.00         0.000000
Q4         CACM-3196         20        N         0.00         0.000000
Q4         CACM-3197         21        N         0.00         0.000000
Q4         CACM-3198         22        N         0.00         0.000000
Q4         CACM-3199         23        N         0.00         0.000000
Q4         CACM-3200         24        N         0.00         0.000000
Q4         CACM-3201         25        N         0.00         0.000000
Q4         CACM-3202         26        N         0.00         0.000000
Q4         CACM-3203         27        N         0.00         0.000000
Q4         CACM-3204         28        N         0.00         0.000000
Q4         CACM-3176         29        N         0.00         0.000000
Q4         CACM-3177         30        N         0.00         0.000000
Q4         CACM-3179         31        N         0.00         0.000000
Q4         CACM-3180         32        N         0.00         0.000000
Q4         CACM-3181         33        N         0.00         0.000000
Q4         CACM-3182         34        N         0.00         0.000000
Q4         CACM-3183         35        N         0.00         0.000000
Q4         CACM-3184         36        N         0.00         0.000000
Q4         CACM-3185         37        N         0.00         0.000000
Q4         CACM-3186         38        N         0.00         0.000000
Q4         CACM-3187         39        N         0.00         0.000000
Q4         CACM-3188         40        N         0.00         0.000000
Q4         CACM-3189         41        N         0.00         0.000000
Q4         CACM-3190         42        N         0.00         0.000000
Q4         CACM-3191         43        N         0.00         0.000000
Q4         CACM-3192         44        N         0.00         0.000000
Q4         CACM-3193         45        N         0.00         0.000000
Q4         CACM-3194         46        N         0.00         0.000000
Q4         CACM-3195         47        N         0.00         0.000000
Q4         CACM-3196         48        N         0.00         0.000000
Q4         CACM-3197         49        N         0.00         0.000000
Q4         CACM-3198         50        N         0.00         0.000000
Q4         CACM-3199         51        N         0.00         0.000000
Q4         CACM-3200         52        N         0.00         0.000000
Q4         CACM-3202         53        N         0.00         0.000000
Q4         CACM-3203         54        N         0.00         0.000000
Q4         CACM-3204         55        N         0.00         0.000000
Q4         CACM-3176         56        N         0.00         0.000000
Q4         CACM-3177         57        N         0.00         0.000000
Q4         CACM-3179         58        N         0.00         0.000000
Q4         CACM-3180         59        N         0.00         0.000000
Q4         CACM-3184         60        N         0.00         0.000000
Q4         CACM-3189         61        N         0.00         0.000000
Q4         CACM-3190         62        N         0.00         0.000000
Q4         CACM-3191         63        N         0.00         0.000000
Q4         CACM-3192         64        N         0.00         0.000000
Q4         CACM-3197         65        N         0.00         0.000000
Q4         CACM-3198         66        N         0.00         0.000000
Q4         CACM-3199         67        N         0.00         0.000000
Q4         CACM-3200         68        N         0.00         0.000000
Q4         CACM-3201         69        N         0.00         0.000000
Q4         CACM-3202         70        N         0.00         0.000000
Q4         CACM-3203         71        N         0.00         0.000000
Q4         CACM-3204         72        N         0.00         0.000000
Q4         CACM-3179         73        N         0.00         0.000000
Q4         CACM-3180         74        N         0.00         0.000000
Q4         CACM-3182         75        N         0.00         0.000000
Q4         CACM-3184         76        N         0.00         0.000000
Q4         CACM-3190         77        N         0.00         0.000000
Q4         CACM-3195         78        N         0.00         0.000000
Q4         CACM-3198         79        N         0.00         0.000000
Q4         CACM-3199         80        N         0.00         0.000000
Q4         CACM-3201         81        N         0.00         0.000000
Q4         CACM-3202         82        N         0.00         0.000000
Q4         CACM-3204         83        N         0.00         0.000000
Q4         CACM-3182         84        N         0.00         0.000000
Q4         CACM-3185         85        N         0.00         0.000000
Q4         CACM-3188         86        N         0.00         0.000000
Q4         CACM-3192         87        N         0.00         0.000000
Q4         CACM-3195         88        N         0.00         0.000000
Q4         CACM-3196         89        N         0.00         0.000000
Q4         CACM-3199         90        N         0.00         0.000000
Q4         CACM-3202         91        N         0.00         0.000000
Q4         CACM-3176         92        N         0.00         0.000000
Q4         CACM-3200         93        N         0.00         0.000000
Q4         CACM-3204         94        N         0.00         0.000000
Q4         CACM-3182         95        N         0.00         0.000000
Q4         CACM-3200         96        N         0.00         0.000000
Q4         CACM-3182         97        N         0.00         0.000000
Q4         CACM-3199         98        N         0.00         0.000000
Q4         CACM-3182         99        N         0.00         0.000000
Q4         CACM-3200         100       N         0.00         0.000000


QueryID: Q5
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q5         CACM-3169         1         N         0.00         0.000000
Q5         CACM-3170         2         N         0.00         0.000000
Q5         CACM-3171         3         N         0.00         0.000000
Q5         CACM-3173         4         N         0.00         0.000000
Q5         CACM-3174         5         N         0.00         0.000000
Q5         CACM-3175         6         N         0.00         0.000000
Q5         CACM-3176         7         N         0.00         0.000000
Q5         CACM-3178         8         N         0.00         0.000000
Q5         CACM-3179         9         N         0.00         0.000000
Q5         CACM-3180         10        N         0.00         0.000000
Q5         CACM-3181         11        N         0.00         0.000000
Q5         CACM-3182         12        N         0.00         0.000000
Q5         CACM-3183         13        N         0.00         0.000000
Q5         CACM-3184         14        N         0.00         0.000000
Q5         CACM-3185         15        N         0.00         0.000000
Q5         CACM-3187         16        N         0.00         0.000000
Q5         CACM-3188         17        N         0.00         0.000000
Q5         CACM-3189         18        N         0.00         0.000000
Q5         CACM-3190         19        N         0.00         0.000000
Q5         CACM-3191         20        N         0.00         0.000000
Q5         CACM-3192         21        N         0.00         0.000000
Q5         CACM-3193         22        N         0.00         0.000000
Q5         CACM-3194         23        N         0.00         0.000000
Q5         CACM-3195         24        N         0.00         0.000000
Q5         CACM-3196         25        N         0.00         0.000000
Q5         CACM-3197         26        N         0.00         0.000000
Q5         CACM-3198         27        N         0.00         0.000000
Q5         CACM-3200         28        N         0.00         0.000000
Q5         CACM-3201         29        N         0.00         0.000000
Q5         CACM-3202         30        N         0.00         0.000000
Q5         CACM-3203         31        N         0.00         0.000000
Q5         CACM-3204         32        N         0.00         0.000000
Q5         CACM-3170         33        N         0.00         0.000000
Q5         CACM-3171         34        N         0.00         0.000000
Q5         CACM-3173         35        N         0.00         0.000000
Q5         CACM-3174         36        N         0.00         0.000000
Q5         CACM-3175         37        N         0.00         0.000000
Q5         CACM-3177         38        N         0.00         0.000000
Q5         CACM-3179         39        N         0.00         0.000000
Q5         CACM-3180         40        N         0.00         0.000000
Q5         CACM-3181         41        N         0.00         0.000000
Q5         CACM-3182         42        N         0.00         0.000000
Q5         CACM-3183         43        N         0.00         0.000000
Q5         CACM-3185         44        N         0.00         0.000000
Q5         CACM-3186         45        N         0.00         0.000000
Q5         CACM-3187         46        N         0.00         0.000000
Q5         CACM-3188         47        N         0.00         0.000000
Q5         CACM-3189         48        N         0.00         0.000000
Q5         CACM-3191         49        N         0.00         0.000000
Q5         CACM-3192         50        N         0.00         0.000000
Q5         CACM-3193         51        N         0.00         0.000000
Q5         CACM-3195         52        N         0.00         0.000000
Q5         CACM-3197         53        N         0.00         0.000000
Q5         CACM-3198         54        N         0.00         0.000000
Q5         CACM-3199         55        N         0.00         0.000000
Q5         CACM-3200         56        N         0.00         0.000000
Q5         CACM-3203         57        N         0.00         0.000000
Q5         CACM-3204         58        N         0.00         0.000000
Q5         CACM-3170         59        N         0.00         0.000000
Q5         CACM-3175         60        N         0.00         0.000000
Q5         CACM-3176         61        N         0.00         0.000000
Q5         CACM-3177         62        N         0.00         0.000000
Q5         CACM-3180         63        N         0.00         0.000000
Q5         CACM-3184         64        N         0.00         0.000000
Q5         CACM-3189         65        N         0.00         0.000000
Q5         CACM-3190         66        N         0.00         0.000000
Q5         CACM-3191         67        N         0.00         0.000000
Q5         CACM-3192         68        N         0.00         0.000000
Q5         CACM-3197         69        N         0.00         0.000000
Q5         CACM-3198         70        N         0.00         0.000000
Q5         CACM-3201         71        N         0.00         0.000000
Q5         CACM-3202         72        N         0.00         0.000000
Q5         CACM-3170         73        N         0.00         0.000000
Q5         CACM-3174         74        N         0.00         0.000000
Q5         CACM-3179         75        N         0.00         0.000000
Q5         CACM-3180         76        N         0.00         0.000000
Q5         CACM-3182         77        N         0.00         0.000000
Q5         CACM-3184         78        N         0.00         0.000000
Q5         CACM-3190         79        N         0.00         0.000000
Q5         CACM-3195         80        N         0.00         0.000000
Q5         CACM-3198         81        N         0.00         0.000000
Q5         CACM-3199         82        N         0.00         0.000000
Q5         CACM-3201         83        N         0.00         0.000000
Q5         CACM-3204         84        N         0.00         0.000000
Q5         CACM-3185         85        N         0.00         0.000000
Q5         CACM-3188         86        N         0.00         0.000000
Q5         CACM-3192         87        N         0.00         0.000000
Q5         CACM-3196         88        N         0.00         0.000000
Q5         CACM-3199         89        N         0.00         0.000000
Q5         CACM-3202         90        N         0.00         0.000000
Q5         CACM-3173         91        N         0.00         0.000000
Q5         CACM-3175         92        N         0.00         0.000000
Q5         CACM-3200         93        N         0.00         0.000000
Q5         CACM-3174         94        N         0.00         0.000000
Q5         CACM-3182         95        N         0.00         0.000000
Q5         CACM-3200         96        N         0.00         0.000000
Q5         CACM-3182         97        N         0.00         0.000000
Q5         CACM-3199         98        N         0.00         0.000000
Q5         CACM-3182         99        N         0.00         0.000000
Q5         CACM-3200         100       N         0.00         0.000000


QueryID: Q6
P@K = 5: 0.000000
P@K = 20: 0.000000


Precision & Recall Tables

QueryID      DocId          Rank      R/N      Recall      Precision      
--------------------------------------------------------------------------------
Q6         CACM-3170         1         N         0.00         0.000000
Q6         CACM-3171         2         N         0.00         0.000000
Q6         CACM-3172         3         N         0.00         0.000000
Q6         CACM-3173         4         N         0.00         0.000000
Q6         CACM-3174         5         N         0.00         0.000000
Q6         CACM-3175         6         N         0.00         0.000000
Q6         CACM-3176         7         N         0.00         0.000000
Q6         CACM-3177         8         N         0.00         0.000000
Q6         CACM-3178         9         N         0.00         0.000000
Q6         CACM-3179         10        N         0.00         0.000000
Q6         CACM-3180         11        N         0.00         0.000000
Q6         CACM-3181         12        N         0.00         0.000000
Q6         CACM-3182         13        N         0.00         0.000000
Q6         CACM-3183         14        N         0.00         0.000000
Q6         CACM-3184         15        N         0.00         0.000000
Q6         CACM-3185         16        N         0.00         0.000000
Q6         CACM-3187         17        N         0.00         0.000000
Q6         CACM-3188         18        N         0.00         0.000000
Q6         CACM-3189         19        N         0.00         0.000000
Q6         CACM-3190         20        N         0.00         0.000000
Q6         CACM-3191         21        N         0.00         0.000000
Q6         CACM-3192         22        N         0.00         0.000000
Q6         CACM-3193         23        N         0.00         0.000000
Q6         CACM-3194         24        N         0.00         0.000000
Q6         CACM-3195         25        N         0.00         0.000000
Q6         CACM-3196         26        N         0.00         0.000000
Q6         CACM-3197         27        N         0.00         0.000000
Q6         CACM-3198         28        N         0.00         0.000000
Q6         CACM-3199         29        N         0.00         0.000000
Q6         CACM-3200         30        N         0.00         0.000000
Q6         CACM-3202         31        N         0.00         0.000000
Q6         CACM-3203         32        N         0.00         0.000000
Q6         CACM-3204         33        N         0.00         0.000000
Q6         CACM-3171         34        N         0.00         0.000000
Q6         CACM-3173         35        N         0.00         0.000000
Q6         CACM-3175         36        N         0.00         0.000000
Q6         CACM-3176         37        N         0.00         0.000000
Q6         CACM-3177         38        N         0.00         0.000000
Q6         CACM-3179         39        N         0.00         0.000000
Q6         CACM-3180         40        N         0.00         0.000000
Q6         CACM-3181         41        N         0.00         0.000000
Q6         CACM-3182         42        N         0.00         0.000000
Q6         CACM-3183         43        N         0.00         0.000000
Q6         CACM-3185         44        N         0.00         0.000000
Q6         CACM-3187         45        N         0.00         0.000000
Q6         CACM-3188         46        N         0.00         0.000000
Q6         CACM-3190         47        N         0.00         0.000000
Q6         CACM-3191         48        N         0.00         0.000000
Q6         CACM-3192         49        N         0.00         0.000000
Q6         CACM-3193         50        N         0.00         0.000000
